,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2019-09-28,City Lights - The 1st Mini Album,BAEKHYUN,Ice Queen,55,105.027,0.643,0.797,0.0,0.513,k-pop
1,2019-09-28,130 Mood : TRBL,DEAN,Pour Up,60,126.949,0.89,0.501,0.0,0.758,k-pop
2,2019-09-28,130 Mood : TRBL,DEAN,21,56,109.93,0.686,0.73,0.0,0.576,k-pop
3,2019-09-28,썸타 Lil' Something,CHEN,썸타 Lil' Something,41,117.971,0.748,0.876,0.0,0.791,k-pop
4,2019-09-28,130 Mood : TRBL,DEAN,Bonnie & Clyde,59,94.958,0.642,0.642,7.74e-06,0.475,k-pop
5,2019-09-28,City Lights - The 1st Mini Album,BAEKHYUN,Diamond,55,135.971,0.606,0.797,0.0,0.429,k-pop
6,2019-09-28,City Lights - The 1st Mini Album,BAEKHYUN,UN Village,70,83.985,0.674,0.589,0.0,0.577,k-pop
7,2019-09-28,Worldwide,Jay Park,뻔하잖아 You Know (feat. Okasian),35,120.02,0.837,0.647,0.000894,0.283,k-hop
8,2019-09-28,The 1st Album 'XOXO' (Repackage),EXO,My Lady,46,128.945,0.683,0.732,0.0,0.487,k-pop
9,2019-09-28,Purple,SOHLHEE,Purple,51,112.042,0.756,0.661,0.0,0.326,
10,2019-09-28,The 1st Mini Album‘Ice Cream Cake’,Red Velvet,Automatic,50,179.938,0.598,0.604,0.0,0.707,k-pop
11,2019-09-28,EPIK HIGH - SHOEBOX,Epik High,Rich (feat. Taeyang),0,100.01,0.79,0.798,7.4e-06,0.454,k-hop
12,2019-09-28,Erase,"Hyolyn, Jooyoung",Erase (feat.Iron),47,94.091,0.634,0.593,0.0,0.642,
13,2019-09-28,The 2nd Mini Album '중독 Overdose',EXO-K,Thunder,51,97.98,0.722,0.771,0.0,0.773,k-pop
14,2019-09-28,Evolution,Jay Park,메트로놈 Metronome (feat. Simon Dominic & GRAY),20,134.35,0.585,0.837,0.0,0.908,k-hop
15,2019-09-28,First Love,LEE HI,Special,44,131.97,0.723,0.455,0.0,0.3,k-pop
16,2019-09-28,Yanghwa BRDG,Zion.T,Yanghwa BRDG,58,87.111,0.538,0.436,0.0,0.37,k-hop
17,2019-09-28,/// (너 먹구름 비),HEIZE,Don't know you,56,104.995,0.699,0.562,0.0,0.471,k-indie
